edge,node1,node2
0,0,1086
1,0,4952
2,0,4067
3,0,2729
4,0,6339
5,0,4560
6,1,4952
7,1,598
8,1,4446
9,1,4448
10,1,1092
11,1,4562
12,2,4561
13,2,4953
14,2,1152
15,2,5127
16,3,181
17,3,599
18,3,4562
19,3,4447
20,3,1089
21,4,1088
22,4,5
23,4,1526
24,4,1087
25,4,4953
26,4,1091
27,5,4
28,5,1154
29,5,1087
30,5,1091
31,5,1153
32,6,350
33,6,1098
34,6,535
35,6,1995
36,7,1097
37,7,608
38,7,1596
39,7,539
40,7,6356
41,7,5581
42,8,537
43,8,6340
44,8,349
45,8,4960
46,8,605
47,9,5582
48,9,4901
49,9,541
50,9,6128
51,9,5584
52,10,4900
53,10,1728
54,10,540
55,10,4899
56,10,2064
57,11,1598
58,11,2064
59,11,1524
60,11,541
61,11,6378
62,12,1525
63,12,609
64,12,353
65,12,543
66,12,733
67,12,5079
68,13,2043
69,13,5076
70,13,4445
71,13,2906
72,13,1416
73,13,11
74,14,4904
75,14,1018
76,14,624
77,14,6906
78,14,5027
79,15,547
80,15,6921
81,15,1528
82,15,4907
83,16,6782
84,16,571
85,16,3875
86,16,1008
87,16,2934
88,16,3136
89,17,1020
90,17,4466
91,17,1021
92,17,2697
93,17,3989
94,18,1714
95,18,7290
96,18,5195
97,18,6831
98,18,2984
99,19,1536
100,19,1856
101,19,5367
102,19,7249
103,19,2984
104,19,1026
105,19,7250
106,20,5368
107,20,1028
108,20,3428
109,20,2959
110,20,7130
111,21,2354
112,21,2036
113,21,1980
114,21,3865
115,22,293
116,22,6770
117,22,4345
118,22,6061
119,22,5147
120,22,2576
121,23,2041
122,23,1346
123,23,938
124,23,5491
125,23,4846
126,24,2006
127,24,5364
128,24,1346
129,24,459
130,24,5194
131,24,7247
132,25,6318
133,25,6252
134,25,5500
135,25,6145
136,25,5824
137,26,1365
138,26,1548
139,26,2050
140,26,3901
141,27,5376
142,27,28
143,27,411
144,27,7175
145,28,1549
146,28,27
147,28,6145
148,28,1917
149,29,1182
150,29,1183
151,29,2496
152,29,4856
153,30,6293
154,30,1663
155,30,4165
156,30,4711
157,30,4337
158,31,526
159,31,1080
160,31,525
161,31,34
162,31,1059
163,31,3993
164,32,4925
165,32,4887
166,32,31
167,32,1003
168,32,6818
169,33,1003
170,33,4107
171,33,1268
172,33,1007
173,33,4511
174,33,3993
175,34,1076
176,34,6818
177,34,4765
178,34,31
179,34,4883
180,34,75
181,35,845
182,35,2933
183,35,4928
184,35,5705
185,35,507
186,35,4863
187,36,4929
188,36,1529
189,36,1605
190,36,7278
191,37,5663
192,37,3283
193,37,6975
194,37,4248
195,37,4104
196,38,933
197,38,1943
198,38,1379
199,38,6161
200,38,6728
201,39,3463
202,39,2753
203,39,6627
204,39,3814
205,39,3158
206,40,4527
207,41,2048
208,41,190
209,41,794
210,41,5839
211,41,1370
212,41,1542
213,42,1555
214,42,5413
215,42,6813
216,42,6242
217,42,90
218,42,7219
219,43,44
220,43,402
221,43,4092
222,43,2300
223,43,2299
224,43,1499
225,44,43
226,44,5828
227,44,4092
228,44,3017
229,44,3018
230,45,1439
231,45,3774
232,45,446
233,45,3543
234,46,5900
235,46,4517
236,46,5050
237,46,4416
238,47,5602
239,47,5898
240,47,4216
241,47,5721
242,47,4215
243,48,6428
244,48,4076
245,48,4072
246,48,6430
247,48,458
248,49,5962
249,49,7143
250,49,2747
251,49,2149
252,49,3486
253,49,3274
254,50,5962
255,50,7061
256,50,636
257,50,3807
258,50,3486
259,50,3142
260,51,4318
261,51,6432
262,51,7144
263,51,2762
264,51,4303
265,52,3553
266,52,3554
267,52,4056
268,52,4074
269,52,3087
270,53,4077
271,53,4079
272,53,966
273,53,4056
274,53,3490
275,53,5380
276,54,3494
277,54,1462
278,54,3556
279,54,641
280,54,4225
281,54,6807
282,55,1463
283,55,57
284,55,4865
285,56,1101
286,56,1103
287,56,5820
288,56,5821
289,56,1679
290,57,58
291,57,546
292,57,1278
293,57,55
294,58,57
295,58,1528
296,58,1278
297,58,1776
298,58,55
299,59,3955
300,59,644
301,59,4082
302,59,3561
303,59,4770
304,59,1776
305,60,2234
306,60,2233
307,60,2636
308,60,645
309,60,1807
310,61,2636
311,61,3564
312,61,4847
313,61,2233
314,61,1807
315,62,2352
316,62,6469
317,62,128
318,62,2926
319,62,2350
320,62,2865
321,63,4693
322,63,4523
323,63,3703
324,63,5714
325,63,7153
326,64,2634
327,64,2231
328,64,5247
329,64,860
330,64,2927
331,65,2231
332,65,3920
333,65,238
334,65,2279
335,65,857
336,66,6883
337,66,5770
338,66,2688
339,66,3964
340,66,5312
341,67,1202
342,67,3596
343,67,4493
344,67,584
345,68,1843
346,68,6642
347,68,336
348,68,1629
349,68,1692
350,68,206
351,69,6473
352,69,6472
353,69,6035
354,69,4747
355,69,5945
356,70,687
357,70,6889
358,70,4546
359,70,975
360,70,1069
361,71,4545
362,71,659
363,71,686
364,71,4548
365,71,658
366,72,1982
367,72,4435
368,72,7072
369,72,1069
370,72,975
371,73,4497
372,73,4499
373,73,690
374,73,1070
375,74,4927
376,74,6891
377,74,690
378,74,4499
379,75,2932
380,75,4503
381,75,4502
382,75,590
383,75,4713
384,75,4552
385,76,6894
386,76,6895
387,76,1075
388,76,2523
389,77,3170
390,77,3169
391,77,4503
392,77,4554
393,77,3677
394,78,2751
395,78,3503
396,78,2427
397,78,4304
398,78,3090
399,78,39
400,79,5909
401,79,6403
402,79,6434
403,79,1768
404,80,4442
405,80,6435
406,80,5827
407,80,1475
408,80,4443
409,81,484
410,81,5440
411,81,82
412,81,3045
413,82,1984
414,82,980
415,82,6434
416,82,81
417,82,1476
418,83,1116
419,83,7265
420,83,4443
421,83,528
422,83,527
423,84,1708
424,84,4250
425,84,3046
426,84,3510
427,85,3707
428,85,5039
429,85,3704
430,85,5037
431,85,6088
432,85,3700
433,86,1014
434,86,5220
435,86,5041
436,86,4584
437,86,5392
438,86,4197
439,87,626
440,87,390
441,87,3292
442,87,2016
443,87,3112
444,87,2265
445,88,1696
446,88,1694
447,88,5084
448,88,4681
449,88,5728
450,89,1106
451,89,144
452,89,3422
453,90,3418
454,90,618
455,90,1558
456,90,404
457,90,6242
458,91,7219
459,91,3644
460,91,3163
461,92,4089
462,92,4199
463,92,1381
464,92,2631
465,93,4600
466,93,6699
467,93,3424
468,93,3425
469,93,6693
470,93,1909
471,94,5514
472,95,472
473,95,6225
474,95,5205
475,95,99
476,96,2194
477,96,6448
478,96,2964
479,96,6795
480,97,5015
481,97,2724
482,97,3978
483,97,5406
484,97,866
485,97,1635
486,97,3826
487,98,3471
488,98,2141
489,98,6450
490,98,4373
491,99,6285
492,99,6226
493,99,4331
494,99,95
495,100,1850
496,100,6454
497,100,1570
498,100,2831
499,100,1634
500,101,165
501,101,841
502,101,2163
503,101,6707
504,101,5647
505,102,2019
506,102,393
507,102,2611
508,102,6950
509,102,2481
510,103,392
511,103,167
512,103,563
513,103,2481
514,103,1664
515,104,171
516,104,2253
517,104,3986
518,104,3622
519,104,3012
520,104,169
521,105,6952
522,105,173
523,105,2164
524,105,6500
525,105,2613
526,105,2611
527,106,172
528,106,2611
529,106,4061
530,106,6954
531,106,6338
532,106,1664
533,107,6659
534,107,6417
535,107,6661
536,107,175
537,107,2614
538,107,4061
539,108,6956
540,108,6662
541,108,6417
542,108,6957
543,108,2617
544,109,5811
545,109,916
546,109,7137
547,109,2000
548,109,2001
549,109,991
550,110,3930
551,110,177
552,110,555
553,110,369
554,110,7139
555,110,1773
556,111,7140
557,111,6424
558,111,3082
559,111,7141
560,111,181
561,111,5127
562,112,3482
563,112,179
564,112,3483
565,112,532
566,112,7231
567,113,532
568,113,3081
569,113,3482
570,113,6425
571,113,3481
572,113,1
573,113,2247
574,114,6587
575,114,3541
576,114,2087
577,115,2694
578,115,2090
579,115,3150
580,115,2644
581,115,6461
582,116,3636
583,116,184
584,116,4069
585,116,4070
586,116,4319
587,116,4449
588,117,6478
589,117,4071
590,117,6477
591,117,5429
592,117,3913
593,117,806
594,118,2679
595,118,749
596,118,183
597,118,6477
598,118,6775
599,118,1931
600,119,6428
601,119,2863
602,119,4072
603,119,806
604,119,3485
605,119,2868
606,120,7131
607,120,7145
608,120,2747
609,120,2398
610,121,6431
611,121,6429
612,121,2709
613,121,5313
614,121,3087
615,122,4074
616,122,3087
617,122,4075
618,122,3553
619,122,6431
620,123,7146
621,123,634
622,123,4076
623,123,458
624,123,1677
625,124,5483
626,124,6094
627,124,3492
628,124,3057
629,124,125
630,124,3556
631,125,124
632,125,6095
633,125,6877
634,125,3556
635,125,6812
636,126,5767
637,126,3744
638,126,2276
639,126,4269
640,126,4081
641,126,1710
642,127,5957
643,127,3562
644,127,2280
645,127,4532
646,127,1691
647,127,4124
648,128,62
649,128,4539
650,128,7053
651,128,1212
652,128,651
653,129,3961
654,129,4541
655,129,649
656,129,2571
657,129,235
658,130,5978
659,130,661
660,130,5977
661,130,6794
662,130,7048
663,131,1863
664,131,7257
665,131,2411
666,131,1320
667,131,2474
668,131,1858
669,132,2473
670,132,942
671,132,6797
