source,target,num_edges,timestamp
6367,2536,23555,1448174882.988072
1549,474,23554,1448174883.910309
1410,917,23553,1448174884.822724
6373,1978,23552,1448174885.739024
2051,6373,23551,1448174886.647515
6249,2002,23550,1448174887.586311
6249,6248,23549,1448174888.507703
2002,1920,23548,1448174889.427202
7141,1089,23547,1448174890.346988
1153,3,23546,1448174891.281356
4447,1153,23545,1448174892.199557
1154,1090,23544,1448174893.117329
1153,1089,23543,1448174894.032415
7191,785,23542,1448174894.970290
1153,1090,23541,1448174895.888657
1089,3,23540,1448174896.805597
599,3,23539,1448174897.717415
6584,2214,23538,1448174898.651559
6009,2214,23537,1448174899.572159
6009,5529,23536,1448174900.486728
6526,5529,23535,1448174901.398671
5536,5535,23534,1448174902.334469
6584,6007,23533,1448174903.253868
1248,6585,23532,1448174904.168097
5535,4821,23531,1448174905.079109
6009,2215,23530,1448174906.009204
7186,4817,23529,1448174906.922853
6527,6584,23528,1448174907.835764
7187,6007,23527,1448174908.749065
5530,784,23526,1448174909.676293
7191,5485,23525,1448174910.587554
5529,784,23524,1448174911.508628
6584,4822,23523,1448174912.418127
2214,1248,23522,1448174913.350137
1097,7,23521,1448174914.260704
608,6356,23520,1448174915.174860
6356,4898,23519,1448174916.088202
6356,1096,23518,1448174917.023078
1443,539,23517,1448174917.938111
4350,539,23516,1448174918.849141
1097,6356,23515,1448174919.763909
5529,6523,23514,1448174920.700253
608,7,23513,1448174921.615663
7187,7186,23512,1448174922.528233
5708,6821,23511,1448174923.437446
5709,5132,23510,1448174924.361651
7191,5132,23509,1448174925.278818
7189,5132,23508,1448174926.181662
5709,5708,23507,1448174927.092139
6821,2511,23506,1448174928.023423
5709,2511,23505,1448174928.936703
5083,4354,23504,1448174929.845755
5083,2391,23503,1448174930.762662
7108,1229,23502,1448174931.693686
4323,5020,23501,1448174932.598784
2002,919,23500,1448174933.500435
5711,2134,23499,1448174934.412643
6526,5532,23498,1448174935.341256
3254,3191,23497,1448174936.250961
3784,3052,23496,1448174937.166950
5501,3933,23495,1448174938.077298
3943,3052,23494,1448174939.008263
3189,3052,23493,1448174939.924092
4277,3320,23492,1448174940.842744
5378,1410,23491,1448174941.796071
5864,3934,23490,1448174942.828775
3320,3190,23489,1448174943.904431
6313,914,23488,1448174944.961807
5378,2003,23487,1448174946.026609
6526,5822,23486,1448174947.038011
5478,3054,23485,1448174948.121853
3783,3188,23484,1448174949.175655
1366,2911,23483,1448174950.259122
3784,3254,23482,1448174951.343005
2369,4277,23481,1448174952.374633
3943,4278,23480,1448174953.462516
6327,2970,23479,1448174954.471259
926,925,23478,1448174955.572437
