(source, target),num_edges,timestamp
(3535, 2429),23555,1447737482.755126
(3724, 1828),23554,1447737515.590452
(1828, 4425),23553,1447737548.256799
(3521, 6453),23552,1447737580.537327
(5562, 2602),23551,1447737615.989270
(2653, 5562),23550,1447737652.161893
(5879, 2653),23549,1447737694.786367
(5879, 5114),23548,1447737743.553390
(6048, 1612),23547,1447737786.055853
(5114, 1228),23546,1447737824.958946
(761, 3522),23545,1447737860.664920
(3775, 5562),23544,1447737897.135782
(2242, 1227),23543,1447737928.757647
(7325, 1228),23542,1447737967.259335
(7326, 7325),23541,1447738006.110966
(3521, 2242),23540,1447738043.518512
(6335, 3775),23539,1447738077.035974
(6335, 677),23538,1447738113.700765
(2727, 677),23537,1447738151.846025
(2605, 677),23536,1447738191.145325
(3243, 2071),23535,1447738231.126411
(6558, 5107),23534,1447738275.666444
(5870, 759),23533,1447738315.137464
(6558, 759),23532,1447738355.032744
(6042, 5868),23531,1447738398.877554
(7092, 5866),23530,1447738439.657112
(7319, 6041),23529,1447738477.969806
(4923, 2496),23528,1447738518.871174
(7091, 755),23527,1447738563.148152
(6134, 6040),23526,1447738602.830217
(6078, 5589),23525,1447738642.419566
(1733, 1731),23524,1447738684.220131
(3121, 1733),23523,1447738727.038914
(5086, 1731),23522,1447738769.202933
(5086, 3121),23521,1447738810.298934
(3163, 91),23520,1447738850.204672
(1764, 3036),23519,1447738891.406835
(3036, 377),23518,1447738929.175302
(4025, 4853),23517,1447738973.205051
(4025, 3450),23516,1447739007.541631
(3243, 1816),23515,1447739043.615990
(5475, 1816),23514,1447739081.620918
(5474, 1816),23513,1447739119.837696
(5474, 3249),23512,1447739162.796042
(3249, 3248),23511,1447739206.350038
(2061, 2366),23510,1447739243.299210
(3251, 2366),23509,1447739282.500237
(4358, 679),23508,1447739326.102912
(1300, 4358),23507,1447739366.068510
(4895, 3185),23506,1447739406.153168
(4358, 680),23505,1447739440.422887
(5563, 680),23504,1447739484.863950
(1125, 348),23503,1447739524.753733
(5583, 3712),23502,1447739564.828306
(1124, 4352),23501,1447739611.375711
(5581, 5081),23500,1447739656.233766
(605, 4446),23499,1447739699.403909
(4957, 4896),23498,1447739741.913893
(3712, 1124),23497,1447739786.642192
(537, 4896),23496,1447739825.855380
(4351, 3712),23495,1447739864.189581
(6076, 738),23494,1447739900.874519
(5581, 6076),23493,1447739939.465407
(6356, 6076),23492,1447739978.167689
(6075, 5083),23491,1447740019.569083
(4956, 1099),23490,1447740066.983978
(3712, 605),23489,1447740109.027873
(1597, 4951),23488,1447740148.573777
(6076, 5083),23487,1447740183.988704
(1729, 1728),23486,1447740225.915146
(350, 1093),23485,1447740265.082817
(535, 602),23484,1447740303.076352
(1597, 3712),23483,1447740349.704281
(1597, 603),23482,1447740385.439081
(1597, 4957),23481,1447740422.933483
(4957, 535),23480,1447740461.987696
(4957, 350),23479,1447740498.941795
(4956, 350),23478,1447740534.710889
(4894, 4956),23477,1447740566.948277
(4894, 1159),23476,1447740598.576779
(988, 502),23475,1447740630.186434
(1915, 1044),23474,1447740661.838004
(2535, 990),23473,1447740694.427021
(1917, 1979),23472,1447740726.795750
(6367, 2536),23471,1447740758.644799
(6372, 411),23470,1447740790.377431
(1549, 474),23469,1447740822.565978
(6372, 6246),23468,1447740854.880565
(1978, 27),23467,1447740887.289904
(6318, 6372),23466,1447740919.521279
(5376, 2051),23465,1447740951.836376
(6246, 5500),23464,1447740983.747782
(5500, 25),23463,1447741015.635920
(1920, 1921),23462,1447741047.172106
(2051, 6251),23461,1447741079.370500
(6250, 917),23460,1447741112.143063
(6318, 2003),23459,1447741143.920777
(6251, 2003),23458,1447741175.726852
(6251, 5378),23457,1447741207.451523
(5378, 6250),23456,1447741239.369607
(4014, 1366),23455,1447741271.852442
(6250, 5427),23454,1447741303.490140
(6113, 1412),23453,1447741335.850455
(5853, 5375),23452,1447741367.973696
(5426, 6250),23451,1447741399.315986
(6250, 4013),23450,1447741431.018500
(6250, 5375),23449,1447741462.565213
(5853, 512),23448,1447741494.353289
(5137, 512),23447,1447741526.000375
(5656, 512),23446,1447741558.052804
(5656, 5138),23445,1447741590.306245
(5138, 6302),23444,1447741621.689457
(1454, 851),23443,1447741653.630188
(6113, 6302),23442,1447741687.520656
(6114, 4014),23441,1447741719.085373
(6113, 5060),23440,1447741751.585176
(6113, 1454),23439,1447741784.280935
(6114, 1454),23438,1447741816.569598
(4613, 5059),23437,1447741847.732384
(6114, 4613),23436,1447741879.528887
(4342, 6306),23435,1447741910.970779
(6304, 4613),23434,1447741942.951282
(4613, 1282),23433,1447741975.422706
(6304, 5142),23432,1447742007.172210
(6305, 1255),23431,1447742038.862821
(5060, 1293),23430,1447742069.811947
(6305, 5142),23429,1447742101.185855
(5064, 281),23428,1447742132.838201
(5142, 282),23427,1447742164.530175
(6307, 282),23426,1447742195.528755
(6118, 1287),23425,1447742226.686420
(5145, 5063),23424,1447742258.089537
(6120, 5145),23423,1447742289.837203
(6120, 6118),23422,1447742320.749914
(6309, 287),23421,1447742351.805952
(513, 1292),23420,1447742383.164209
(1372, 513),23419,1447742414.673776
(5661, 1290),23418,1447742446.220092
(1372, 2046),23417,1447742477.631276
(5546, 2046),23416,1447742508.815943
(2970, 2046),23415,1447742539.739282
(5887, 2970),23414,1447742571.311933
(6327, 2046),23413,1447742602.961073
(2046, 1286),23412,1447742634.281098
(5146, 285),23411,1447742665.832724
(5887, 5146),23410,1447742696.719704
(6380, 5887),23409,1447742728.481109
(6325, 2046),23408,1447742760.307812
(5903, 3721),23407,1447742792.043629
(2054, 5889),23406,1447742822.992002
(5553, 440),23405,1447742853.800937
(1925, 2054),23404,1447742885.034910
(5889, 5888),23403,1447742916.492476
(6326, 285),23402,1447742948.043438
(6325, 5144),23401,1447742979.296803
(6326, 5144),23400,1447743010.357625
(6325, 6324),23399,1447743041.961675
(6324, 1924),23398,1447743073.060565
(7021, 1924),23397,1447743104.440506
(7021, 1925),23396,1447743136.196134
(5888, 1925),23395,1447743167.075820
(6142, 5553),23394,1447743198.303222
(6142, 1317),23393,1447743229.533319
(2169, 1317),23392,1447743260.782698
(6030, 5953),23391,1447743275.868161
(279, 5059),23390,1447743291.191516
(280, 5059),23389,1447743306.413342
(6114, 280),23388,1447743321.577659
(5785, 3180),23387,1447743336.698846
(5059, 4647),23386,1447743351.757361
(6114, 4647),23385,1447743366.955894
(5785, 4647),23384,1447743382.156331
(1456, 4647),23383,1447743397.254064
(7281, 4648),23382,1447743412.390463
(6030, 2095),23381,1447743427.673853
(6057, 7245),23380,1447743443.112994
(2488, 4236),23379,1447743458.506932
(4117, 1456),23378,1447743473.697919
(4117, 6057),23377,1447743488.612885
