node1,node2,size,edges,biggroup,timestamp
366,1868,2,2087,914,1447524003.269241
1823,1362,2,2086,914,1447524013.421650
4390,1743,2,2085,914,1447524023.600182
4390,3501,2,2084,914,1447524033.664857
2110,7312,2,2083,914,1447524045.067774
7313,1362,2,2082,914,1447524055.428848
2110,2284,2,2081,914,1447524065.399605
3214,3972,2,2080,914,1447524075.579770
6732,6677,2,2079,914,1447524087.479054
2103,7314,2,2078,914,1447524097.623082
4310,6854,2,2077,914,1447524107.689999
4309,4310,2,2076,914,1447524118.007288
2284,6854,2,2075,914,1447524130.908287
5324,3629,2,2074,914,1447524141.425514
5911,5913,2,2073,914,1447524151.669931
5910,5911,2,2072,914,1447524161.848117
3095,1276,2,2071,914,1447524173.227929
979,5908,2,2070,914,1447524183.352722
79,6403,2,2069,914,1447524193.584833
484,7221,2,2068,914,1447524203.701272
1479,5910,2,2067,914,1447524214.737468
2287,2904,2,2066,914,1447524224.830149
3044,1985,2,2065,914,1447524234.742560
4249,5321,2,2064,914,1447524244.931236
2759,5319,2,2063,914,1447524256.367118
4382,3099,2,2062,914,1447524266.765340
3285,3971,2,2061,914,1447524276.813526
4196,3215,2,2060,914,1447524289.709635
2111,4308,2,2059,914,1447524300.074734
6664,610,2,2058,914,1447524312.829462
2111,4310,2,2057,914,1447524322.876926
4982,5717,2,2056,914,1447524333.021771
6403,5910,2,2055,914,1447524343.040960
485,5912,2,2054,914,1447524354.297070
5858,5923,2,2053,914,1447524364.333397
6434,485,2,2052,914,1447524374.403107
980,981,2,2051,914,1447524384.344679
368,1480,2,2050,914,1447524395.432677
6974,5712,2,2049,914,1447524405.401628
6974,1329,2,2048,914,1447524415.480604
2760,5280,2,2047,914,1447524425.650093
4249,5279,2,2046,914,1447524437.020121
4135,1276,2,2045,914,1447524447.226476
3814,3624,2,2044,914,1447524457.224543
298,2428,2,2043,914,1447524467.407365
5067,5317,2,2042,914,1447524478.780238
2752,3091,2,2041,914,1447524488.698343
2112,3099,2,2040,914,1447524498.727824
4382,2752,2,2039,914,1447524508.763135
3091,3279,2,2038,914,1447524519.560527
78,4304,2,2037,914,1447524529.426132
3400,3631,2,2036,914,1447524539.383654
4307,3464,2,2035,914,1447524549.487677
4306,3462,2,2034,914,1447524560.682379
4307,1120,2,2033,914,1447524570.702106
4307,3462,2,2032,914,1447524580.741506
1275,5392,2,2031,914,1447524590.612769
6213,3462,2,2030,914,1447524600.598163
3214,3631,2,2029,914,1447524611.622034
3103,3287,2,2028,914,1447524621.570521
3090,5316,2,2027,914,1447524631.697779
4304,3503,2,2026,914,1447524641.651160
3103,3631,2,2025,914,1447524653.013904
3400,3629,2,2024,914,1447524663.115593
2751,3090,2,2023,914,1447524673.228981
3629,3631,2,2022,914,1447524683.272008
3811,2749,2,2021,914,1447524694.560611
3811,3090,2,2020,914,1447524704.539830
3501,1743,2,2019,914,1447524714.417504
3276,3089,2,2018,914,1447524724.355702
3276,3155,2,2017,914,1447524735.156365
4387,1318,2,2016,914,1447524745.002038
2115,4387,2,2015,914,1447524755.026884
2175,3334,2,2014,914,1447524764.920016
1162,1318,2,2013,914,1447524775.724300
2288,2289,2,2012,914,1447524785.647228
2292,3844,2,2011,914,1447524795.404729
5067,3507,2,2010,914,1447524805.275245
3507,3846,2,2009,914,1447524816.073135
3817,5319,2,2008,914,1447524825.873073
3504,3505,2,2007,914,1447524835.534472
3161,3282,2,2006,914,1447524845.367223
2750,3277,2,2005,914,1447524856.183107
2750,3505,2,2004,914,1447524866.017711
263,264,2,2003,914,1447524875.707434
3817,3161,2,2002,914,1447524885.374639
5390,3871,2,2001,914,1447524895.181852
3303,4051,2,2000,914,1447524905.865670
2478,497,3,1999,591,1447524911.403919
2114,5621,3,1998,591,1447524916.757506
497,3331,3,1997,591,1447524922.044068
1769,5923,3,1996,591,1447524928.386885
4383,3331,3,1995,591,1447524933.861332
3333,3840,3,1994,591,1447524939.042736
1742,3335,3,1993,591,1447524944.435601
1859,1860,3,1992,591,1447524950.907355
2473,3431,3,1991,591,1447524956.199601
132,3042,3,1990,591,1447524961.520146
2288,2800,3,1989,591,1447524966.789880
4385,3333,3,1988,591,1447524973.082375
4385,3332,3,1987,591,1447524978.387140
4385,3331,3,1986,591,1447524983.825586
485,980,3,1985,591,1447524989.025074
593,979,3,1984,591,1447524995.311267
6435,593,3,1983,591,1447525000.691133
80,4442,3,1982,591,1447525005.915874
80,1475,3,1981,591,1447525011.064022
1475,5827,3,1980,591,1447525017.480332
1657,5907,3,1979,591,1447525022.844243
1475,1657,3,1978,591,1447525028.249525
3646,1657,3,1977,591,1447525033.604645
6188,1657,3,1976,591,1447525041.884507
449,5558,4,1975,338,1447525046.115399
132,6797,4,1974,338,1447525050.368665
6495,1661,4,1973,338,1447525054.408890
1741,3847,4,1972,338,1447525059.168649
132,3431,4,1971,338,1447525062.845004
2409,7304,4,1970,338,1447525066.526703
2470,1353,4,1969,338,1447525070.082769
6797,1353,4,1968,338,1447525073.727505
2525,5801,4,1967,338,1447525078.472219
1485,5801,4,1966,338,1447525082.127942
494,1988,4,1965,338,1447525085.664851
493,2528,4,1964,338,1447525089.148966
985,1486,4,1963,338,1447525093.808450
7304,1353,4,1962,338,1447525097.364794
5067,1742,4,1961,338,1447525100.927403
4624,6675,5,1960,323,1447525103.887326
5388,4032,5,1959,323,1447525107.903809
4213,5718,5,1958,323,1447525110.831820
1502,5036,5,1957,323,1447525113.743712
4206,5387,5,1956,323,1447525116.644856
262,6087,5,1955,323,1447525120.662262
6087,5937,5,1954,323,1447525123.607934
1659,1449,5,1953,323,1447525126.515624
2802,3338,5,1952,323,1447525129.433083
5039,3704,5,1951,323,1447525133.366936
4136,5393,5,1950,323,1447525136.289527
6087,4311,5,1949,323,1447525139.169044
4622,5936,5,1948,323,1447525142.059570
4982,5718,5,1947,323,1447525146.006117
6165,5166,5,1946,323,1447525148.859919
5213,4032,5,1945,323,1447525151.778248
610,5936,5,1944,323,1447525154.634022
6732,610,5,1943,323,1447525158.650411
5388,5036,5,1942,323,1447525161.562536
4208,3701,5,1941,323,1447525164.432007
5278,3701,5,1940,323,1447525167.247642
5278,3699,5,1939,323,1447525170.060615
5216,5278,5,1938,323,1447525174.026168
5216,6672,5,1937,323,1447525176.921670
6670,6672,5,1936,323,1447525179.764563
5214,6672,5,1935,323,1447525182.553883
5214,3705,5,1934,323,1447525186.519825
5320,3705,5,1933,323,1447525189.381391
5320,5321,5,1932,323,1447525192.222137
5319,5321,5,1931,323,1447525195.021347
